readers,writers,lockType,reads,writes
1,1,SynchronizedSpaceship,52451517,54198010
1,1,SynchronizedSpaceship,108708847,113602381
1,1,SynchronizedSpaceship,49834484,53490713
1,1,SynchronizedSpaceship,48030858,57652901
1,1,SynchronizedSpaceship,43477896,47144680
1,1,SynchronizedSpaceship,0,0
1,1,ReadWriteLockSpaceShip,10901146,45037919
1,1,ReadWriteLockSpaceShip,11145303,38947152
1,1,ReadWriteLockSpaceShip,11296169,39634332
1,1,ReadWriteLockSpaceShip,12188510,37216929
1,1,ReadWriteLockSpaceShip,13760441,37564057
1,1,ReadWriteLockSpaceShip,0,0
1,1,ReentrantLockSpaceship,26090479,23985033
1,1,ReentrantLockSpaceship,20738667,21919650
1,1,ReentrantLockSpaceship,30270189,28078433
1,1,ReentrantLockSpaceship,23511460,25657792
1,1,ReentrantLockSpaceship,24078859,24271570
1,1,ReentrantLockSpaceship,0,0
1,1,StampedLockSpaceship,28388733,40625725
1,1,StampedLockSpaceship,26295688,36323802
1,1,StampedLockSpaceship,25030930,37148085
1,1,StampedLockSpaceship,23993716,35874137
1,1,StampedLockSpaceship,42252771,48266294
1,1,StampedLockSpaceship,0,0
1,1,StampedLockWithRetriesSpaceship,27950600,56402020
1,1,StampedLockWithRetriesSpaceship,36182861,61623292
1,1,StampedLockWithRetriesSpaceship,33485142,59895149
1,1,StampedLockWithRetriesSpaceship,25284596,51363505
1,1,StampedLockWithRetriesSpaceship,21754578,46276899
1,1,StampedLockWithRetriesSpaceship,0,0
1,1,LockFreeSpaceship,111513044,91282103
1,1,LockFreeSpaceship,109624278,90783930
1,1,LockFreeSpaceship,116599179,93442579
1,1,LockFreeSpaceship,113200289,92304951
1,1,LockFreeSpaceship,121069595,97050426
1,1,LockFreeSpaceship,0,0
2,1,SynchronizedSpaceship,68803132,40015293
2,1,SynchronizedSpaceship,76471865,41767456
2,1,SynchronizedSpaceship,73409432,29390225
2,1,SynchronizedSpaceship,83564241,45036859
2,1,SynchronizedSpaceship,74645069,27454506
2,1,SynchronizedSpaceship,0,0
2,1,ReadWriteLockSpaceShip,29068269,83681835
2,1,ReadWriteLockSpaceShip,34571260,73411170
2,1,ReadWriteLockSpaceShip,29809387,87865646
2,1,ReadWriteLockSpaceShip,33516087,74399808
2,1,ReadWriteLockSpaceShip,33536577,96199739
2,1,ReadWriteLockSpaceShip,0,0
2,1,ReentrantLockSpaceship,97401213,50425560
2,1,ReentrantLockSpaceship,98696316,51716536
2,1,ReentrantLockSpaceship,105731019,49300117
2,1,ReentrantLockSpaceship,94331172,50349730
2,1,ReentrantLockSpaceship,91229632,50926476
2,1,ReentrantLockSpaceship,0,0
2,1,StampedLockSpaceship,169055802,24221997
2,1,StampedLockSpaceship,152848096,22932069
2,1,StampedLockSpaceship,144620287,20276911
2,1,StampedLockSpaceship,154465830,20984607
2,1,StampedLockSpaceship,145748401,21831201
2,1,StampedLockSpaceship,0,0
2,1,StampedLockWithRetriesSpaceship,97024113,43683030
2,1,StampedLockWithRetriesSpaceship,138942012,45432646
2,1,StampedLockWithRetriesSpaceship,131400251,48333832
2,1,StampedLockWithRetriesSpaceship,97174875,42029782
2,1,StampedLockWithRetriesSpaceship,97886699,44052377
2,1,StampedLockWithRetriesSpaceship,0,0
2,1,LockFreeSpaceship,272510948,86530969
2,1,LockFreeSpaceship,296372469,82809702
2,1,LockFreeSpaceship,320414057,82176836
2,1,LockFreeSpaceship,255888752,88365695
2,1,LockFreeSpaceship,256317128,89227277
2,1,LockFreeSpaceship,0,0
3,1,SynchronizedSpaceship,98624838,31744523
3,1,SynchronizedSpaceship,84494994,29442993
3,1,SynchronizedSpaceship,69436384,21152059
3,1,SynchronizedSpaceship,76563949,25706116
3,1,SynchronizedSpaceship,76528453,21753341
3,1,SynchronizedSpaceship,0,0
3,1,ReadWriteLockSpaceShip,34108590,37604076
3,1,ReadWriteLockSpaceShip,34581932,37173417
3,1,ReadWriteLockSpaceShip,35644437,44297476
3,1,ReadWriteLockSpaceShip,38631985,39626345
3,1,ReadWriteLockSpaceShip,33671652,27812521
3,1,ReadWriteLockSpaceShip,0,0
3,1,ReentrantLockSpaceship,98949045,46015277
3,1,ReentrantLockSpaceship,101147211,45850358
3,1,ReentrantLockSpaceship,100149089,44002078
3,1,ReentrantLockSpaceship,102088703,45436255
3,1,ReentrantLockSpaceship,106591016,50196522
3,1,ReentrantLockSpaceship,0,0
3,1,StampedLockSpaceship,249529101,17712135
